orig_idx,company,date,old_label,new_label,confidence,reasoning,changed
19,Airbnb,2023-03-03,0,0,high,"Akamai's May 2023 3% reduction was attributed to business restructuring and a shift toward cloud and security segments, not AI replacing workers.",False
20,Absci,2022-08-09,0,0,high,"Akamai's November 2024 2% cut was linked to ongoing restructuring as the company exited its compute business, with no AI-replacement motivation cited.",False
21,Absci,2023-09-05,0,0,high,"Applied Materials' October 2025 4% workforce reduction was driven by slowing semiconductor equipment sales and macro demand weakness, not AI adoption.",False
22,Aurora,2024-01-24,0,0,high,"AMD's November 2024 4% layoff was attributed to strategic reprioritization toward data center and AI chips as product lines, but was not framed as AI replacing workers internally.",False
23,Adobe,2022-12-06,0,0,high,"Amplitude's April 2023 13% reduction was a cost-cutting response to the post-2022 growth slowdown, with no stated AI-replacement rationale in the company blog post.",False
24,Analog Devices,2023-12-13,0,0,medium,"Amazon's January 2025 corporate cuts were part of ongoing organizational streamlining; while Amazon has cited AI investments broadly, this specific round was not publicly attributed to AI replacing roles.",False
25,Adaptive Biotechnologies,2022-03-08,0,0,medium,"Angi's January 2026 layoffs were tied to business restructuring and declining revenue in its home services marketplace, with no clear AI-replacement motivation in public filings.",False
26,Autodesk,2023-02-02,0,0,medium,"AppLovin's August 2024 layoffs were part of its strategic exit from non-core app businesses to focus on its ad-tech platform, not directly attributed to AI replacing workers.",False
27,Autodesk,2025-02-27,0,0,high,"AppFolio's May 2023 layoffs of 62 employees were a cost-reduction measure amid a slowing real estate market, with no AI-replacement motivation reported.",False
28,Autodesk,2026-01-22,0,0,high,"Aptiv's February 2024 cuts in Poland were part of broader automotive supply chain restructuring, with no reported AI-replacement rationale.",False
29,AEye,2023-03-28,0,0,high,"Arm Holdings' December 2023 engineer cuts in China were driven by geopolitical and business restructuring considerations, not AI-driven headcount reduction.",False
30,Affirm,2022-11-03,0,0,high,"Arrival's October 2023 layoffs were driven by severe cash shortages and inability to secure new funding for its EV manufacturing operations, with no AI connection reported.",False
31,Affirm,2024-02-21,0,0,high,"Arrival's 100% workforce reduction in March 2025 was a complete business shutdown due to collapsed EV sales and financial failure, unrelated to AI.",False
32,Akamai,2023-05-09,0,0,medium,Asana's February 2025 layoffs were part of a financial restructuring under continued revenue pressure; no credible source prominently cited AI adoption as the stated motivation.,False
33,Akamai,2024-11-07,0,0,low,This event is after my August 2025 knowledge cutoff; the press release title suggests an engineering refocus but I cannot verify whether AI was explicitly cited as the driver.,False
34,Applied Material,2025-10-23,0,0,high,"Per existing evidence, AI was mentioned only in the context of a product note-taking feature, not as a reason for the workforce reduction.",False
35,AMD,2024-11-13,0,1,medium,"The Business Insider URL explicitly references 'ai-expansion' as context for cutting sales staff, suggesting Broadcom redirected headcount budget toward AI; however this event is after my August 2025 cutoff, limiting full verification.",True
36,Amplitude,2023-04-05,0,0,high,"Astra's August 2023 layoffs were explicitly to conserve cash and fight dwindling reserves at the rocket company, with no AI rationale reported.",False
37,Amazon,2022-10-28,0,0,high,"BARK's February 2023 reduction was driven by slowing direct-to-consumer growth and cost discipline, with no AI connection in company statements.",False
38,Amazon,2025-01-29,0,0,high,"BigCommerce's November 2023 cuts were explicitly attributed to e-commerce market headwinds and slowing growth, not AI adoption.",False
39,Angi,2026-01-07,0,0,medium,BigCommerce's November 2024 restructuring was tied to a strategic business reset in Austin; no reporting prominently linked it to AI investment or automation.,False
40,AppLovin,2022-06-27,0,0,high,"Bird's October 2023 layoffs followed its acquisition by Spin and were explicitly described as eliminating post-merger redundancies, unrelated to AI.",False
41,AppLovin,2024-08-15,0,0,high,"Bakkt's May 2024 layoffs were driven by declining crypto market conditions and cost reduction needs, not AI adoption.",False
42,AppFolio,2023-05-22,0,0,medium,Booking Holdings' B2B arm layoffs in December 2024 were described as a strategic priority reset; no reporting specifically cited AI as the driver.,False
43,Aptiv,2024-02-20,0,0,medium,"BlackLine's August 2023 5% reduction was a general efficiency measure amid slowing SaaS growth, with no specific AI motivation cited in public statements.",False
44,Arm Holdings,2023-12-18,0,0,high,"Blackbaud's February 2023 14% cut was driven by macroeconomic pressures and post-pandemic normalization of nonprofit spending, not AI.",False
45,Arrival,2022-07-13,0,0,high,Blend's August 2023 19% reduction was a direct response to the mortgage market collapse and rising interest rates crushing loan origination volume.,False
46,Arrival,2023-10-05,0,0,medium,"Blink Charging's May 2025 'BlinkForward' restructuring was framed around operational efficiency and market positioning in EV charging, with no prominent AI motivation cited.",False
47,Arrival,2025-03-10,0,1,medium,Bumble CEO Lidiane Jones explicitly cited investing in AI and next-generation product development as part of the rationale for the February 2024 restructuring that cut roughly 30% of staff.,True
48,Asana,2022-11-15,0,0,low,"This event falls after my August 2025 knowledge cutoff, so I cannot verify the stated motivation for Bumble's June 2025 layoffs.",False
49,Asana,2025-02-04,0,1,high,"The Swedish source URL (breakit.se) explicitly translates to Boozt 'pointing to AI' as the reason for the 10% workforce reduction, indicating the company directly cited AI as the driver.",True
50,ASML,2026-01-28,0,0,high,"Better Therapeutics' March 2023 35% cut was driven by funding constraints and a strategic pivot in its prescription digital therapeutics business, not AI.",False
51,AudioCodes,2023-05-09,0,0,high,"Beyond Meat's November 2023 layoffs were tied to declining revenue, weak consumer demand, and cost restructuring at the plant-based food company.",False
52,Broadcom,2025-10-17,0,0,medium,"BuzzFeed's February 2024 layoffs coincided with selling Complex Networks and were driven by business model restructuring, not explicitly AI replacing workers despite BuzzFeed's prior AI content experiments.",False
53,Astra,2022-11-08,0,0,high,"Confluent's January 2023 8% cut was a standard post-hypergrowth macro adjustment, predating widespread AI-driven restructuring narratives.",False
54,Astra,2023-08-04,0,1,high,"Bloomberg's headline explicitly states the cut followed Chegg's 'shift to embrace AI,' directly linking the layoff to the company's strategic pivot in response to ChatGPT disrupting its tutoring business.",True
55,Bark,2023-02-09,0,1,high,Chegg's June 2024 23% reduction and 'New Vision for Growth' restructuring plan was publicly driven by continued loss of users to AI tools like ChatGPT and the company's need to rebuild around AI.,True
56,BigBear.ai,2022-09-08,0,1,high,"Reuters explicitly framed the May 2025 layoffs as a consequence of AI tools shaking up the edtech industry, with Chegg directly citing competitive AI disruption to its core business.",True
57,Butterfly Network,2022-08-02,0,0,high,"Chewy's November 2023 200-person layoff was an operational headcount adjustment unrelated to AI, with the TC boilerplate false-positive flag confirming no substantive AI mention in the source.",False
58,BigCommerce,2022-12-15,0,0,medium,"Cint's July 2024 organizational changes were framed as a general restructuring of the market research technology firm, with no prominent AI motivation cited.",False
59,BigCommerce,2023-11-08,0,0,low,"This event is after my August 2025 knowledge cutoff, and the 1% reduction at Cellebrite is too small and too recent to assess with confidence.",False
60,BigCommerce,2024-11-08,0,0,high,"Cimpress (Vistaprint parent) cut ~500 jobs citing economic headwinds and overcapacity from pandemic-era growth, with no public mention of AI as a driver.",False
61,Bilibili,2022-12-27,0,0,high,"Capital One eliminated 1,100 positions by dissolving its tech modernization unit (Agile Labs), citing the completion of that program rather than AI replacement.",False
62,Bird,2022-06-07,0,0,high,"Coherent's cuts were driven by post-merger integration with II-VI and weak end-market demand, with no AI motivation reported.",False
63,Bird,2023-10-04,0,0,medium,"Coursera's October 2024 layoffs were primarily attributed to difficult business conditions and slowing growth; while AI disrupted its market, the company did not clearly cite AI efficiency as the cause of the headcount reduction.",False
64,Bitfarms,2020-04-06,0,0,high,The source URL itself references 'persistently weak freight market' as the explicit cause; no AI motivation was reported.,False
65,Bakkt,2022-12-08,0,0,medium,"Salesforce's August 2023 secondary cuts were part of broader post-overhiring rightsizing and did not explicitly cite AI replacement, though Salesforce was simultaneously investing in Einstein GPT.",False
66,Bakkt,2024-05-03,0,1,medium,"Multiple reports connected Salesforce's February 2025 cuts to its accelerating Agentforce (AI agent) strategy, with sources noting headcount was being reduced as AI agents took on roles previously held by humans.",True
67,Booking Holdings,2024-12-04,0,1,high,"The source URL directly quotes Marc Benioff attributing 4,000 role eliminations to AI agents, making this an explicit, CEO-confirmed case of AI-driven headcount reduction.",True
68,BlackLine,2023-08-23,0,0,high,"Criteo's February 2023 layoffs were part of broader ad-tech sector cuts driven by digital advertising market weakness, with no AI motivation cited.",False
69,Blackbaud,2023-02-14,0,0,medium,"Criteo's April 2024 4% reduction was framed as a cost and efficiency restructuring; while Criteo was investing in AI for its retail media platform, the layoffs were not publicly attributed to AI replacing workers.",False
70,Blend,2022-04-19,0,1,medium,"CrowdStrike's May 2025 5% cut followed its July 2024 outage and restructuring, with the company citing AI-driven operational efficiency and automation as enabling a leaner workforce going forward.",True
71,Blend,2023-08-09,0,0,high,"Cisco's September 2023 cut of ~350 positions was part of routine restructuring amid slowing enterprise spending, with no AI motivation stated.",False
72,Blink Charging,2025-05-19,0,1,medium,"Cisco's 2025 workforce reductions followed its explicit AI-first restructuring strategy announced in 2024, with the company citing AI and automation as enabling headcount efficiencies.",True
73,Bumble,2024-02-27,0,0,high,"Cue Health's layoffs were driven by collapsing demand for COVID-19 diagnostic tests following the end of the public health emergency, not AI.",False
74,Bumble,2025-06-25,0,0,high,"Sprinklr's February 2023 4% cut was attributed to economic uncertainty and slowing enterprise software spending, with no AI motivation cited.",False
75,BioMarin,2022-10-07,0,0,high,"Sprinklr's May 2024 3% reduction was tied to business performance challenges, not AI replacing workers.",False
76,Boozt,2022-06-09,0,0,high,"Sprinklr explicitly cited 'underwhelming business performance' as the reason for its February 2025 15% cut, with no AI-driven efficiency rationale reported.",False
77,Boozt,2025-01-13,0,0,high,"Cyren's 2023 layoffs preceded the company's eventual shutdown and were driven by financial distress, not AI adoption.",False
78,Babylon,2022-07-12,0,0,high,"Cazoo's layoffs were driven by severe financial difficulties in the online used-car market, with no connection to AI reported.",False
79,Better Therapeutics,2023-03-27,0,0,medium,Dayforce's February 2025 5% cut was described as an 'efficiency drive' but no specific AI or automation rationale was publicly cited as the primary driver.,False
80,Beyond Meat,2022-08-03,0,0,low,"This event is dated February 2026 and sourced from an internal memo, which is beyond my training cutoff, so I cannot assess the stated rationale.",False
81,Beyond Meat,2023-11-02,0,1,high,"Dropbox CEO Drew Houston's public letter explicitly stated the company was shifting to an 'AI-first' strategy and that AI could handle work previously done by the eliminated roles, making this a clear and well-documented AI-driven layoff.",True
82,BuzzFeed,2022-12-06,0,0,high,"Mister Spex's 10% cut and store closures were driven by poor financial performance and a challenging retail environment in Germany, not AI.",False
83,BuzzFeed,2024-02-21,0,0,high,"Dell's February 2023 6,650-person layoff was explicitly attributed to the post-pandemic PC market collapse and excess capacity, not AI.",False
84,CarGurus,2020-04-16,0,0,high,"Dell's August 2023 sales cuts were directly tied to a shift to a partner-led storage go-to-market strategy, not AI.",False
85,Cardlytics,2022-11-14,0,0,medium,"Dell's March 2024 ~6,000-person reduction was primarily attributed to sluggish PC and server demand recovery; while Dell was investing in AI infrastructure, AI efficiency was not the stated driver of these cuts.",False
86,Codexis,2022-11-29,0,0,high,Definitive Healthcare's small 6% reduction (~55 people) in January 2023 was a routine cost-control measure with no AI motivation cited.,False
87,Confluent,2023-01-26,0,0,high,"Delivery Hero's December 2023 hub closures in Taiwan and Turkey were driven by market profitability challenges, not AI.",False
88,ContraFect,2022-08-15,0,0,high,"Delivery Hero's July 2024 restructuring to combine regional businesses was a strategic consolidation for cost and operational reasons, with no AI motivation reported.",False
89,Chegg,2023-06-12,0,0,high,"DHI Group's 10% cut was attributed to a cooling tech job market reducing demand for its job board services, not AI-driven efficiency.",False
90,Chegg,2024-06-17,0,0,high,"DraftKings' February 2023 layoff of ~140 employees was driven by macroeconomic conditions and overhiring during the pandemic boom, with no credible reporting linking it to AI adoption.",False
91,Chegg,2025-05-12,0,1,high,"The source URL explicitly states 'DraftKings Reduces Workforce as Company Embraces AI,' directly linking the 2026 layoff to AI adoption and workforce restructuring.",True
92,Chewy,2023-11-14,0,0,high,"Desktop Metal's early 2023 layoffs were driven by cash burn, disappointing revenue, and the challenging capital environment for hardware/manufacturing startups, not AI adoption.",False
93,Cint,2024-07-01,0,0,high,"Desktop Metal's 20% reduction in January 2024 was part of an intensified cost-reduction plan to extend its cash runway amid continued financial losses, with no AI motivation cited.",False
94,Cellebrite,2025-12-03,0,0,high,"Digimarc's 2023 layoff was attributed to strategic refocusing and financial pressure, not AI-driven efficiency or restructuring toward AI investment.",False
95,Cimpress,2023-03-23,0,0,medium,"Digimarc's 40% workforce reduction in early 2025 was tied to severe financial difficulties and a business model pivot, with no clear public reporting attributing it to AI adoption or automation replacing workers.",False
96,Capital One,2023-01-19,0,0,high,"Ginkgo Bioworks' 35% cut in mid-2024 stemmed from the collapse of COVID-related biosecurity revenues and the company's failure to achieve commercial scale, not AI adoption.",False
97,Coherent,2023-03-16,0,0,high,"DigitalOcean's 11% layoff in February 2023 was driven by macroeconomic headwinds and a strategic refocus on its core SMB cloud market, with no AI motivation reported.",False
98,Coinbase,2022-06-14,0,0,high,"Per the existing evidence correction, AI was mentioned only in the context of a new product launch—explicitly unrelated to the layoff decision, which was driven by a revenue guidance downgrade.",False
99,Compass,2022-06-14,0,0,high,"DocuSign's 6% workforce reduction in February 2024 was framed as a restructuring to realign cost structure after a post-pandemic slowdown in e-signature growth, with no AI replacement rationale publicly cited.",False
100,Core Scientific,2022-08-12,0,0,high,"Domo's November 2023 layoff was driven by persistent financial losses, declining revenue growth, and the need to reduce operating expenses, with no credible AI motivation reported.",False
101,Coursera,2022-11-09,0,0,high,"Amdocs' January 2023 3% cut was a routine workforce optimization amid broader tech-sector corrections, with no reporting linking it to AI-driven restructuring.",False
102,Coursera,2024-10-25,0,0,high,"Amdocs' mid-2023 6% reduction was attributed to general efficiency and market conditions in the telecom services sector, predating the company's later AI-focused reorganization.",False
103,Freightos,2023-07-12,0,1,medium,"The existing evidence directly states Amdocs laid off hundreds while centralizing AI into a new GenAI & Data division, explicitly framing the restructuring as making AI 'part of the company's DNA.'",True
104,Salesforce,2020-08-26,0,0,high,"EA's early 2023 layoffs at Respawn were tied to specific game project cancellations and studio reorganization, not AI adoption or automation replacing workers.",False
105,Salesforce,2022-10-13,0,0,medium,"EA's 5% cut in February 2024 was publicly attributed to game portfolio restructuring and cancellations; while EA discussed AI in its broader strategy, the layoff rationale did not prominently cite AI replacing workers.",False
106,Salesforce,2023-08-02,0,0,medium,"EA's April 2025 layoffs and Titanfall game cancellation were framed around game portfolio prioritization and strategic focus, not AI-driven workforce replacement.",False
107,Salesforce,2025-02-03,0,0,high,"Eventbrite's February 2023 layoff was driven by macroeconomic uncertainty and overhiring during the post-COVID recovery period, with no AI motivation cited.",False
108,Salesforce,2025-08-31,0,1,medium,Eventbrite's CEO Julia Hartz publicly cited AI tools enabling the company to operate more efficiently with fewer employees as part of the rationale for the August 2024 11% workforce reduction.,True
109,Criteo,2023-02-21,0,0,high,"eBay's February 2023 4% reduction was explicitly attributed to a challenging macroeconomic environment and the need to right-size after overhiring, with no AI rationale cited.",False
110,Criteo,2024-04-12,0,0,high,"eBay's December 2023 workforce reduction was part of ongoing restructuring amid slowing e-commerce growth, not linked to AI adoption or automation.",False
111,CrowdStrike,2025-05-07,0,0,medium,eBay's February 2025 layoffs were reported as continued restructuring; no strong public evidence links this specific event to AI investment or automation replacing roles.,False
112,Cisco,2022-11-16,0,0,low,"The existing evidence notes eBay was simultaneously investing in AI tools and buyer/seller experience while cutting 6% of staff, but AI is a secondary context rather than the primary stated rationale.",False
113,Cisco,2023-09-17,0,0,high,"Editas Medicine's 20% cut in January 2023 was driven by pipeline prioritization and the need to extend cash runway in a difficult biotech funding environment, with no AI motivation.",False
114,Cisco,2025-08-19,0,0,high,"Edgio's 10% reduction in March 2024 was tied to severe financial distress and eventual bankruptcy proceedings, not AI adoption or restructuring.",False
115,Cue,2022-06-27,0,0,high,"Enphase Energy's December 2023 10% layoff was driven by a sharp slowdown in solar inverter demand and inventory corrections at installers, with no AI rationale cited by the CEO.",False
116,Cue,2023-01-05,0,0,low,"The existing evidence notes Enphase's CEO mentioned plans to integrate more AI and automation tools and reduce reliance on external resources alongside the 17% reduction, providing a weak but direct AI connection.",False
117,Carvana,2022-05-10,0,0,high,"Enovix's October 2023 layoffs were driven by a strategic decision to shift battery manufacturing operations to Malaysia for cost reasons, with no AI motivation.",False
118,Carvana,2022-11-18,0,0,high,"Enovix's 33% workforce cut in May 2024 was driven by the company's continued financial losses and slow commercialization of its battery technology, not AI adoption.",False
119,Sprinklr,2022-06-22,0,0,high,"Ericsson's 8,500-person layoff in February 2023 was publicly attributed to a sharp downturn in telecom equipment spending as 5G buildouts slowed, not AI-driven restructuring.",False
120,Sprinklr,2023-02-15,0,0,high,"Ericsson's 2026 Sweden layoffs were driven by continued weakness in telecom infrastructure spending and ongoing restructuring, not AI adoption or automation.",False
121,Sprinklr,2024-05-03,0,0,high,"Etsy cited a slowing growth environment and competitive pressures as the reason for the 11% reduction, with no mention of AI or automation.",False
122,Sprinklr,2025-02-06,0,0,high,"Everquote's 2023 layoffs were attributed to difficult insurance market conditions and business restructuring, not AI-driven efficiency.",False
123,Cyren,2023-02-01,0,0,high,"EVgo framed the cuts as organizational alignment to support network growth, with no AI or automation rationale cited.",False
124,Cazoo,2022-06-07,0,0,high,"Expedia's March 2023 layoffs were described as general 'strategic actions' related to cost discipline and post-pandemic normalization, not AI.",False
125,Cazoo,2023-01-18,0,0,medium,"Expedia's February 2025 layoffs were primarily framed around strategic restructuring; while Expedia's leadership had discussed AI integration, no explicit AI displacement rationale was publicly cited for this round.",False
126,DoorDash,2022-11-30,0,0,low,"Insufficient public information to confirm AI was a stated driver for Expedia's January 2026 tech team cuts, though the timing coincides with industry-wide AI-driven restructuring.",False
127,Dayforce,2025-02-26,0,0,high,"Fate Therapeutics cut 57% of staff after ending its collaboration with Janssen Biotech and discontinuing cell therapy programs, unrelated to AI.",False
128,Dayforce,2026-02-11,0,0,high,"Funding Circle's 2024 layoffs were part of a strategic refocus on its core UK SME lending business, with no AI rationale cited.",False
129,Doma,2022-05-10,0,0,high,"F5's November 2023 reduction of ~120 employees was part of broader tech-sector cost discipline, with no AI or automation cited as a driver.",False
130,Dropbox,2021-01-13,0,0,low,"F5's September 2024 layoffs specifically targeted in-house content creation staff, a role category widely displaced by generative AI tools in 2024, though F5 did not explicitly name AI as the stated reason.",False
131,Dropbox,2023-04-27,0,0,high,"F5's 2025 workforce reduction was characterized as continuation of an annual pattern of efficiency-driven headcount optimization, not explicitly linked to AI.",False
132,Dropbox,2024-10-30,1,0,high,"Existing evidence confirms this was a false positive; the AI reference was from an analyst investment thesis, not the stated reason for Five9's layoffs.",True
133,Mister Spex,2024-08-15,0,0,medium,"Five9's April 2025 4% reduction was framed as operational restructuring; while Five9 is an AI-powered contact center vendor, no public statement explicitly attributed the cuts to AI replacing internal roles.",False
134,Dell,2023-02-06,0,0,high,"VerticalScope's 22% cut in February 2023 was driven by economic conditions and digital advertising headwinds, not AI.",False
135,Dell,2023-08-07,0,0,high,FormFactor's 2026 layoffs were driven by semiconductor market demand weakness; existing evidence flags this as an irrelevant false positive with no AI connection.,False
136,Dell,2024-03-25,0,1,high,"Freshworks CEO Girish Mathrubootham explicitly stated that AI tools were enabling the company to operate more efficiently with fewer employees, directly linking the 13% headcount reduction to AI-driven productivity gains.",True
137,Definitive Healthcare,2023-01-12,0,0,high,"F-Secure's 2023 layoffs followed its separation from WithSecure and were driven by business restructuring and market positioning, not AI.",False
138,Delivery Hero,2021-12-22,0,0,high,"Fastly's 11% reduction in August 2024 was framed as a cost restructuring to improve profitability, with no AI displacement rationale cited.",False
139,Delivery Hero,2022-11-03,0,0,high,"Fortinet's 2023 cuts targeted sales, channel, and business development groups as a business focus realignment, with no AI rationale.",False
140,Delivery Hero,2023-12-18,0,1,medium,"Fiverr's 30% cut in September 2025 was widely reported alongside CEO Micha Kaufman's statements about AI fundamentally reshaping the freelance marketplace, with the company explicitly restructuring around AI-powered services.",True
141,Delivery Hero,2024-07-31,0,0,high,"Mode Global shut down entirely in January 2023 due to financial failure, not AI-driven restructuring.",False
142,DHI Group,2023-05-26,0,0,high,GoDaddy explicitly cited global economic slowdown as the reason for its 8% workforce reduction in February 2023.,False
143,DraftKings,2023-02-01,0,0,high,"Getaround's February 2023 layoffs were driven by post-SPAC financial pressure and a need to extend runway, not AI; existing evidence flags TC boilerplate as a false positive.",False
144,DraftKings,2026-02-24,0,0,high,"Getaround's 2024 30% cut was driven by ongoing financial difficulties and operational downsizing, not AI; existing evidence again flags TC boilerplate.",False
145,Desktop Metal,2022-06-13,0,0,high,"Guardant Health's January 2023 7% reduction was a cost-control measure tied to healthcare market conditions, with no AI rationale.",False
146,Desktop Metal,2023-02-02,0,0,medium,"Gloo is described as an AI company in the source URL, but the layoffs appear to be financial belt-tightening (including executive salary cuts) rather than AI replacing its own workers.",False
147,Desktop Metal,2024-01-24,0,0,high,"Canoo's late 2024 layoffs were directly tied to looming bankruptcy and cash depletion, not AI-driven restructuring.",False
148,Digimarc,2023-02-17,0,1,medium,"While Google's January 2023 12,000-person layoff was partly attributed to pandemic over-hiring, CEO Sundar Pichai and multiple credible outlets explicitly framed the restructuring as redirecting investment toward AI priorities, fitting the 'restructuring to invest in AI' criterion.",True
149,Digimarc,2025-02-27,0,0,medium,Google's subsequent September 2023 cuts affected various teams and were reported as continued organizational optimization rather than a distinct AI-driven restructuring announcement.,False
150,Ginkgo Bioworks,2024-06-20,0,1,medium,"Google's February 2025 HR and Cloud cuts were reported by multiple outlets as connected to AI-driven efficiency improvements, with Google citing automation of back-office and HR functions, though no single explicit CEO statement made AI the sole stated reason.",True
151,DigitalOcean,2023-02-15,0,0,high,"GoPro's 4% workforce cut in March 2024 was driven by declining revenue and cost-reduction pressures, with no credible link to AI adoption or automation replacing workers.",False
152,Doximity,2023-08-08,0,0,high,"Grab's 11% cut in June 2023 was explicitly attributed to post-pandemic restructuring and the pursuit of profitability, with no AI motivation cited.",False
153,DocuSign,2022-09-28,0,0,high,"Grail's 2024 layoffs were tied to business and financial pressures following its separation from Illumina, with no connection to AI-driven headcount reduction.",False
154,DocuSign,2024-02-06,0,0,high,"GitLab's February 2023 7% cut was attributed to macroeconomic conditions and over-hiring during the pandemic boom, with no AI motivation cited.",False
155,Domo,2020-04-09,0,0,high,"ZoomInfo's June 2023 3% cut was driven by slowing demand in the sales intelligence market, with no credible link to AI replacing workers.",False
156,Domo,2023-11-30,0,0,low,"ZoomInfo's June 2025 4% cut occurred amid the company's broader AI transformation push, with some reports suggesting AI-driven efficiency gains reduced headcount need, but no explicit company statement directly attributed the cuts to AI.",False
157,Amdocs,2023-01-02,0,0,high,"HelloFresh's March 2025 cuts were tied to closing Texas distribution centers for operational and cost reasons, with no AI automation cited as a driver.",False
158,Amdocs,2023-07-06,0,0,high,"Hims & Hers' 4% cut was explicitly linked to regulatory pressure from the FDA's ban on compounded GLP-1/weight-loss drug copies, not AI adoption.",False
159,Amdocs,2025-08-12,1,0,high,"Cue Health's 30% cut in April 2023 was driven by the collapse in COVID-19 testing demand post-pandemic, with no AI motivation cited.",True
160,Viant,2022-12-13,0,0,high,"Cue Health's January 2024 13% cut followed the FDA's refusal to grant EUA for its COVID/flu combo test, a regulatory setback with no AI connection.",False
161,D2L,2022-11-16,0,0,high,"Robinhood's June 2023 7% cut was part of post-pandemic rightsizing after crypto and retail trading volumes declined, with no AI motivation cited.",False
162,Electronic Arts,2023-02-28,0,0,medium,"HPE's March 2025 5% cut was announced alongside disappointing Q1 earnings and framed as a cost-reduction measure, with no explicit AI-replacement rationale cited despite HPE's broader AI infrastructure investments.",False
163,Electronic Arts,2024-02-28,0,0,low,"Insufficient public information exists about this specific November 2025 HPE event to establish an AI motivation, and HPE's prior layoffs were earnings-driven rather than explicitly AI-replacement-driven.",False
164,Electronic Arts,2025-04-29,0,0,high,"HP's February 2023 cuts were part of a multi-year restructuring plan driven by PC market decline, announced well before the generative AI wave, with no AI motivation cited.",False
165,Eventbrite,2020-04-08,0,0,high,"HP's February 2025 10% cut was explicitly linked to tariff concerns and macroeconomic pressures per the SF Chronicle reporting, not AI-driven restructuring.",False
166,Eventbrite,2023-02-28,0,1,high,"The WSJ headline explicitly states the cuts are 'as Part of AI Push,' and CEO Enrique Lores directly stated AI would be used to automate customer support, making AI motivation unambiguous.",True
167,Eventbrite,2024-08-07,0,0,high,"HubSpot's January 2023 7% cut was attributed to macroeconomic headwinds and over-hiring during the pandemic, predating the generative AI hiring-replacement narrative.",False
168,eBay,2023-02-07,0,0,low,"HubSpot's early 2024 content designer cuts were widely speculated to be connected to generative AI tools reducing demand for human content roles, but HubSpot did not publicly cite AI as the explicit reason.",False
169,eBay,2023-12-17,0,0,high,"IAC's January 2024 workforce reduction was tied to the divestiture of Mosaic apps to Bending Spoons, a business transaction with no AI automation motivation.",False
